copy_key,english,spanish,Notes
search.results_products,Products,Productos,
search.results_locations,Locations,Lugares,
search.results_industries,Industries,Sectores,
search.placeholder,Type here to search,Escriba aquí para buscar lo que quiere,
search.level.municipality,Municipality,Municipio,
search.level.msa,City,Ciudad,
search.level.division,NAICS two-digit,SCIAN 2-dígitos,
search.level.department,State,Entidad,States?
search.level.country,Country,País,
search.level.class,NAICS four-digit,SCIAN 4-dígitos,
search.level.4digit,HS four-digit,SA 4-dígitos,
search.intro,"Search for the location, product, industry or occupation that you’re interested in.","Busque el lugar, producto, sector u ocupación que le interese",
search.header,results,resultados,
search.didnt_find,Didn’t find what you were looking for? Let us know: eduardo_lora@hks.harvard.edu,¿Encontró lo que buscaba? Nos interesa saber: eduardo_lora@hks.harvard.edu,
pageheader.search_placeholder,"Search for a location, product or industry","Busque el lugar, producto o sector",
pageheader.search_link,Search,Buscar,
pageheader.profile_link,Profile,Perfil,
pageheader.graph_builder_link,Graph Builder,Graficador,
pageheader.download,Download the data,Descargue los datos,
pageheader.brand_slogan,Using data to keep Mexico competitive,Utilizando datos para mantener México competitivo,
pageheader.about,About,¿Quiénes somos?,
location.show.value,Value,Valor,
location.show.total_wages,Total wages ({{lastYear}}),Salarios totales pagados ({{lastYear}}),
location.show.population,Population,Población,
location.show.overview,Overview,Visión de conjunto,
location.show.imports,Imports ({{year}}),Importaciones ({{year}}),
location.show.growth_annual,"Growth, annual ({{yearRange}})",Tendencia ({{yearRange}}),
location.show.gdp_pc,GDP per Capita,PIB per cápita,
location.show.gdp,GDP,PIB,
location.show.exports_and_imports,Exports and imports,Exportaciones e importaciones,
location.show.exports,Exports ({{year}}),Exportaciones ({{year}}),
location.show.export_possiblities.intro,"We’ve found that countries which export complex products grow faster than those which export simple products. Using the similarity space we built in the section above, we’ve highlighted  high potential products for {{name}}, ranked by which have the highest combination of opportunity and complexity.","Hemos encontrado que los países que exportan productos más complejos crecen más rápido. Usando el ""espacio del producto"" presentado arriba, estamos destacando productos de alto potencial para {{name}}, ordenados por las mejores combinaciones de complejidad actual y complejidad potencial.",
location.show.export_possiblities.footer,Note that the list is dynamically generated.  Not all exports may make sense given local conditions not captured in our measure of product similarity.,Los productos indicados pueden no ser viables debido a condiciones del lugar que no se consideran en el análisis de similitud tecnológica.,
location.show.export_possiblities,Export possiblities,Posibilidades de exportación,
location.show.employment_and_wages,Employment and wages,Actividad económica formal por sectores,
location.show.employment,Employment ({{lastYear}}),Empleo total ({{lastYear}}),
location.show.bullet.last_pop,The population is {{lastPop}} of Mexico's 45.8 M,"La población es {{lastPop}} de personas, frente a 45,8 mill de personas en todo el país  (año 2013).","Probably should update theses to be mxn numbers, currently col"
location.show.bullet.gdp_pc,"{{name}} has a GDP per capita of {{lastGdpPerCapita}}, compared to Col$15.1 M for Mexico","El PIB per capita de {{name}} es {{lastGdpPerCapita}}, comparado con Col$15,1 mill para toda México (año 2013).",Probably should update theses
location.show.bullet.gdp_grow_rate,"The GDP growth rate between {{yearRange}} was {{gdpGrowth}}, compared to 5.3% for Mexico","La tasa de crecimiento del PIB entre {{yearRange}} fue {{gdpGrowth}}, comparada con 5,3% para toda México",Probably should update theses
location.show.all_departments,Compared to the other states,Comparación con otras entidades,states
location.model.municipality,municipality,municipio,
location.model.msa,city,ciudad,
location.model.department,state,entidad,states
location.model.country,Mexico,México,
industry.show.value,Value,Valor,
industry.show.occupation_demand,"Occupations employed, 2013","Ocupaciones más demandadas, 2013",
industry.show.occupation,Occupations employed by industry,Ocupaciones demandadas por sector,
industry.show.industry_composition,"Industry composition, 2013",Composición de la industria (2013),
industry.show.industries,Industries,Sectores,
industry.show.employment_growth,Employment growth (2008-2013),Crecimiento del empleo (2008-2013),
industry.show.employment_and_wages,Employment and wages,Actividad económica formal por sectores,
industry.show.employment,Employment ({{year}}),Empleo ({{year}}),
industry.show.avg_wages,Average wages ({{year}}),Salarios promedio ({{year}}),
index.research_head,Research featured in,Investigación mencionada en,
index.questions_subhead,But we can answer a lot of questions.,Pero podemos responder muchas preguntas.,
index.questions_head,We’re not a crystal ball,No somos una bola de cristal,
index.profiles_subhead,"Just the essentials, presented as a one-page summary","Sólo lo esencial, en un resumen de una página",
index.profiles_head,Start with our profiles,Comience por nuestros perfiles,
index.profiles_cta,Read the profile for Antioquia,Lea el perfil de Antioquia,
index.product_q2,What places in Mexico import computers?,¿Qué lugares de México importan computadores?,
index.product_q1,What places in Mexico export bananas?,¿Qué lugares de México exportan café?,
index.product_head,Learn about an export,Aprenda sobre un producto de exportación,
index.present_subhead,"Use our treemaps to break down your state, city or municipality’s exports and employment","Utilice nuestros diagramas para ver la descomposición de las exportaciones o del empleo formal de su entidad, ciudad, o municipio.",states
index.present_head,Charting the present,Mapeando el presente,
index.location_q2,What products have the most potential in Durango?,¿Qué exportaciones tienen el mayor potencial en Durango?,"Update this for MXN places, please make sure the copy for the spanish is correct"
index.location_q1,What industries in Guerrero employ the most people?,¿Qué industrias emplean más gente en Guerrero?,Same
index.location_head,Learn about a location,Aprenda sobre un lugar,
index.industry_q2,What occupations does the chemical industry employ?,¿Qué ocupaciones demanda la industria química?,
index.industry_q1,Where in Mexico does the insurance industry employ the most people?,¿Dónde emplea más gente el sector de seguros en México?,
index.industry_head,Learn about an industry,Entérese de una industria,
index.header_subhead,"Visualize the possibilities for industries, exports and locations across Mexico.","Visualice las posibilidades de cualquier sector, cualquier producto de exportación o cualquier lugar en México.",
index.header_head,You haven’t seen Mexico like this before,México como usted nunca lo ha visto,Is this correct
index.future_subhead,Find the untapped markets best suited to your location,Encuentre qué exportaciones o sectores productivos tienen las mejores posibilidades en su entidad o ciudad.,
index.future_head,To map the future,Para avizorar el futuro,
index.complexity_subhead,"Countries that export complex products, which require a lot of knowledge, grow faster than those that export raw materials. Researchers at Harvard University have pioneered a way to measure and visualize the complexity of every export and industry in Mexico.","Los países que exportan productos complejos, que requieren una gran cantidad de conocimientos, crecen más rápido que los que exportan materias primas. Usando los métodos de medir y visualizar la complejidad desarrollados por la Universidad de Harvard, Datlas permite entender la complejidad y las posibilidades productivas y de exportación de las entidades y ciudades mexicanas.",
index.complexity_head,The complexity advantage,La ventaja de la complejidad,
index.complexity_figure.WEF_name,WEF competitiveness ranking,Foro Económico Mundial índice de competitividad global,
index.complexity_figure.head,"Contribution to variance in economic growth, percentage (10-year)","Percentage contribution to variance in economic growth, 10-year",
index.complexity_figure.complexity_name,Complexity ranking,Índice de complejidad económica,
index.complexity_cta,Read more about complexity,Lea más sobre complejidad,
index.complexity_caption,"How good is it? Country growth predictions using economic complexity were <a href=""http://atlas.cid.harvard.edu/media/atlas/pdf/HarvardMIT_AtlasOfEconomicComplexity.pdf"" class=""link--stream"" target=""_blank"">more than six times as accurate</a> as conventional metrics, such as the World Governance Indicators.","¿Qué tan bueno es? Las predicciones de crecimiento de los países basadas en la complejidad económica son 10 veces más precisas que las basadas en variables convencionales, como los Indicadores de Gobernabilidad Mundial.",
index.colombia_profile,Read the profile for Mexico,Lea el perfil de México,
index.builder_subhead,Create graphs and maps for your presentations,Haga sus propios gráficos y mapas,
index.builder_head,Then dive into the graph builder,Luego vaya al graficador,
index.builder_cta,Build graphs about coffee,Explore las gráficas sobre el café,
graph_builder.view_more,View more,Muestre más,
graph_builder.table.year,Year,Año,
graph_builder.table.wages,"Total wages, Mex$ (in thousands)","Salarios totales pagados, Mex$ (miles de pesos)",
graph_builder.table.read_more,Unfamiliar with any of the indicators above? Find definitions in our,¿No reconoces alguno de los indicadores anteriores? Encuentra las definiciones en nuestro,
graph_builder.table.rca,Revealed comparative advantage,Ventaja comparativa revelada,
graph_builder.table.parent,Parent,Grupo,
graph_builder.table.occupation,Occupation,Ocupación,
graph_builder.table.num_vacancies,Vacancies,Vacantes,
graph_builder.table.num_establishments,Firms,Empresas,
graph_builder.table.name,Name,Nombre,
graph_builder.table.monthly_wages,"Avg. monthly wage, Mex$","Salarios promedio, Mex$",
graph_builder.table.location,Location,Lugar,
graph_builder.table.less_than_5,Less than 5,Menos de 5,
graph_builder.table.industry,Industry,Sector,
graph_builder.table.import_value,"Imports, USD","Importaciones, USD",
graph_builder.table.export_value,"Exports, USD","Exportaciones, USD",
graph_builder.table.export_rca,Revealed comparative advantage,Ventaja comparativa revelada,
graph_builder.table.export_num_plants,Firms,Empresas,
graph_builder.table.export,Export,Exportación,
graph_builder.table.employment_growth,Employment growth (2008-2012),El crecimiento del empleo (2008–2012),
graph_builder.table.employment,Employment,Empleo,
graph_builder.table.distance,Distance,Distancia,
graph_builder.table.complexity,Complexity,Complejidad,
graph_builder.table.cog,Opportunity gain,Complejidad potencial,
graph_builder.table.code,Code,Código,
graph_builder.table.avg_wage,"Avg. wage, Mex$ (in thousands)","Salarios promedio, Mex$ (miles de pesos)",
graph_builder.table.average_wages,"Avg. wage, Mex$ (in thousands)","Salarios promedio, Mex$ (miles de pesos)",
graph_builder.settings.to,to,a,
graph_builder.settings.label,Settings,Configuración,
graph_builder.settings.close_settings,Save and close,Archive y cierre,
graph_builder.settings.change_time,Change time period:,Cambie el período:,
graph_builder.search.submit,Highlight,Destacar,
graph_builder.search.placeholder,Highlight {{entity}} on the graph below,Destaque {{entity}} en el gráfico siguiente,
graph_builder.recirc.header,Read the profile for this {{entity}},Lea el perfil de este  {{entity}},
graph_builder.questions.label,Change question,Cambiar pregunta,
graph_builder.page_title.product.locations.import_value,What places in Mexico import this product?,¿Qué lugares en México importan este producto?,
graph_builder.page_title.product.locations.export_value,What places in Mexico export this product?,¿Qué lugares en México exportan este producto?,
graph_builder.page_title.location.products.similarity,What does the product space look like for {{thisLevel}}?,¿Cómo es el espacio del producto de {{thisLevel}}?,
graph_builder.page_title.location.products.scatter,What products have the most potential for {{thisLevel}}?,¿Qué productos tienen el mayor potencial para {{thisLevel}}?,
graph_builder.page_title.location.products.import_value_from,What products does {{thisLevel}} import from {{place}}?,¿Qué productos importa {{thisLevel}} de {{place}}?,
graph_builder.page_title.location.products.import_value,What products does {{thisLevel}} import?,¿Qué productos importa {{thisLevel}}?,
graph_builder.page_title.location.products.export_value_to,What products does {{thisLevel}} export to {{place}}?,¿Qué productos exporta {{thisLevel}} de {{place}}?,
